Transcript/RepeatID	chr	start	end	strand	Length	Copies	Annotation/Divergence	B_53A_GSM1153526.CvsH	FPKM	B_CL7B-P12_GSM1153525.CvsH	FPKM	B_PR01086_iPSC-1_A_GSM1153521.CvsH	FPKM	B_PR01086_iPSC-1_B_GSM1153523.CvsH	FPKM	C_PR00818_iPSC-2_A_GSM1153514.CvsH	FPKM	C_PR00818_iPSC-2_B_GSM1153516.CvsH	FPKM	C_PR01209_iPSC-1_A_GSM1153517.CvsH	FPKM	C_PR01209_iPSC-1_B_GSM1153519.CvsH	FPKM	H_ADRC-40_iPSC-2_A_GSM1153507.CvsH	FPKM	H_ADRC-40_iPSC-2_B_GSM1153501.CvsH	FPKM	H_ESC_H1_GSM1153529.CvsH	FPKM	H_ESC_HUES-6_GSM1153528.CvsH	FPKM	H_GM22159_WT-9_iPSC_GSM1153512.CvsH	FPKM	H_WT-126_iPSC_GSM1153513.CvsH	FPKM	H_WT-33_iPSC-1_A_GSM1153510.CvsH	FPKM	H_WT-33_iPSC-1_B_GSM1153509.CvsH	FPKM	c1.CvsH.hg19	FPKM	c2.CvsH.hg19	FPKM	h1.CvsH.hg19	FPKM	h2.CvsH.hg19	FPKM
Merged-chr6-131727625-8	chr6	131723281	131730468	+	7187	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.106	0.038	0.109	0.065	0.175	0.148	0.185	0.146	0.019	0.019	0.05	0.006	0.023	0.163	0.023	0.021	0.044	0.022	0.071	0.116																				
Merged-chr5-166726795-9	chr5	166723841	166731479	-	7638	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.041	0.014	0.005	0	0.029	0.062	0.012	0.025	0.098	0.097	0.44	0.018	0.029	0.132	0.083	0.07	0.375	0.219	0.104	0.004																				
Merged-chr12-33242394-4	chr12	33240000	33244573	-	4573	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.01	0.022	0	0.044	0.065	0.052	0.01	0.021	0.015	0	0	0	0	0.008	0	0	0	0.002	0	0																				
Merged-chr2-215960082-3	chr2	215958556	215961572	+	3016	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0																				
Merged-chr2-216790741-8	chr2	216786252	216793623	+	7371	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	1.191	0.519	1.425	0.342	1.606	2.771	1.792	1.416	0.794	0.397	2.181	0.237	0.391	0.985	1.186	0.376	1.55	0.757	1.836	1.342																				
Merged-chr5-97770830-2	chr5	97769438	97772223	+	2785	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				
Merged-chr4-187163840-3	chr4	187162293	187165534	-	3241	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0.01	0.024	0	0.421	0.14	0.106	0.059	3.98	5.197	9.046	3.735	2.544	4.349	5.387	4.032	0.027	0.003	9.076	9.664																				
Merged-chr5-44110926-2	chr5	44109776	44112076	-	2300	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0																				
Merged-chr7-7000088-4	chr7	6997529	7002719	-	5190	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.026	0.078	0.008	0.051	0.043	0.075	0.066	0.046	0	0.004	0.007	0.008	0.004	0	0.04	0.015	0.055	0.018	0.027	0.017																				
Merged-chr3-129869785-3	chr3	129867225	129872358	-	5133	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.017	0.049	0.008	0.045	0.007	0.021	0	0.019	0.01	0	0.007	0.008	0.016	0.022	0.016	0.022	0.05	0.016	0	0.002																				
Merged-chr2-210167599-8	chr2	210163275	210170433	+	7158	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.188	0.178	0.209	0.139	0.371	0.893	0.477	0.206	1.703	1.181	5.007	1.166	1.238	1.876	1.726	1.242	0.374	0.121	6.494	3.986																				
Merged-chr17-32513960-7	chr17	32509426	32516803	+	7377	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.674	0.191	0.475	0.113	0.62	0.892	0.724	0.568	0.167	0.072	0.208	0.12	0.222	0.257	0.271	0.139	0.805	0.662	0.314	0.856																				
Merged-chr3-191646305-5	chr3	191644306	191647984	-	3678	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0.002	0	0	0.09	0.124	0.1	0.052	0.033	0.056	1.076	0.077	0.033	0.192	0.194	0.103	0.016	0.023	0.437	0.575																				
Merged-chr8-8028031-3	chr8	8025420	8030630	+	5210	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0.029	0.008	0.013	0.025	0.017	0.009	0.018	0.03	0.013	0.066	0.019	0.024	0.057	0.012	0.051	0.085	0.04	0.062	0.015																				
Merged-chr3-44391436-3	chr3	44388829	44393777	-	4948	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0.005	0	0.007	0.007	0	0.005	0	0	0.009	0.033	0.008	0	0.004	0	0	0	0.011	0.015	0.002																				
Merged-chrX-127397432-4	chrX	127395925	127398956	-	3031	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0.006	0	0	0.016	0	0	0	0.007	0	0	0.007	0	0.01	0	0.007	0																				
Merged-chr1-232367480-9	chr1	232364590	232371520	-	6930	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.375	0.145	0.392	0.158	0.362	1.05	0.907	0.392	0.138	0.246	0.229	0.154	0.121	0.382	0.246	0.23	0.414	0.333	0.776	0.476																				
Merged-chr1-222145725-16	chr1	222138482	222153075	-	14593	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	2.025	0.053	2.156	0.055	1.796	3.458	2.054	1.793	2.774	1.396	2.775	0.872	0.449	4.567	2.257	2.528	1.667	2.002	2.942	2.181																				
Merged-chr7-52402603-8	chr7	52399672	52407552	-	7880	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0.005	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0																				
Merged-chr5-170435060-3	chr5	170433342	170436634	-	3292	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0.014	0	0	0.022	0	0	0	0	0	0.006	0.006	0	0																				
Merged-chr3-78635295-5	chr3	78632732	78638845	-	6113	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	12.007	1.028	13.345	0.815	10.882	13.371	10.169	14.794	1.068	1.519	5.621	2.829	6.001	6.315	3.478	4.189	14.115	3.188	7.629	8.105																				
Merged-chr2-158199279-7	chr2	158196401	158202739	-	6338	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0.009	0.006	0.01	0.009	0.01	0	0.015	0.005	0	0	0	0	0	0	0	0.005	0	0	0.003																				
Merged-chr4-167630624-6	chr4	167629010	167632385	-	3375	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0																				
Merged-chr2-67563926-5	chr2	67562318	67565534	+	3216	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	6.433	7.787	7.351	5.184	5.477	8.034	4.863	7.408	4.421	2.723	32.878	12.449	9.339	9.948	8.597	2.339	35.496	9.328	22.548	13.512																				
Merged-chr13-53532774-5	chr13	53530748	53534929	-	4181	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0.002	0	0	0.003																				
Merged-chr2-44246505-4	chr2	44244727	44248595	-	3868	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0	0	0	0.014	0	0.005	0	0	0	0.003	0	0	0																				
Merged-chr6-29220119-2	chr6	29218874	29221364	-	2490	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0																				
Merged-chr1-215585459-8	chr1	215582683	215589802	-	7119	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.975	0.144	1.138	0.243	1.956	9.379	3.037	1.252	0.871	0.414	0.68	0.35	0.273	1.12	0.693	0.688	0.551	0.415	1.5	0.998																				
Merged-chr2-171834719-4	chr2	171833168	171836296	-	3128	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.057	0.197	0.289	0.191	0.165	0.325	0.235	0.335	0.017	0	0.017	0.013	0	0.006	0.013	0.049	1.075	0.29	0.01	0.035																				
Merged-chr10-107488323-2	chr10	107486578	107490068	+	3490	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.064	0.075	0.023	0.048	0.079	0.05	0.02	0.068	0.015	0	0.005	0	0.012	0.005	0.006	0	0.006	0.003	0.009	0.013																				
Merged-chr14-101774198-8	chr14	101770790	101778385	-	7595	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.029	0.004	0	0	0.078	0.011	0.018	0	0.002	0	0	0	0	0.002	0.003	0	0.005	0	0	0.001																				
Merged-chr9-12952004-8	chr9	12947584	12954887	+	7303	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	1.116	0.143	1.309	0.455	1.695	4.46	2.763	1.044	0.649	0.246	1.323	0.564	0.409	0.956	0.8	0.525	0.786	0.506	1.444	0.889																				
Merged-chr4-180089374-4	chr4	180086855	180092498	-	5643	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	1.635	0.123	1.973	0.141	1.909	3.078	2.475	1.283	84.27	43.169	103.569	56.055	79.084	96.64	55.378	55.192	2.459	0.985	74.725	30.873																				
Merged-chr6-146773719-8	chr6	146770821	146778388	-	7567	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	1.781	0.065	0.322	0.031	0.546	2.084	0.391	0.201	0.007	0.009	0.005	0.003	0.003	0.015	0.008	0.005	0.873	0.336	0.017	0.012																				
Merged-chrX-116416769-8	chrX	116412414	116419622	+	7208	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.721	0.143	0.753	0.101	0.665	0.946	0.757	1.025	0.026	0.045	0.065	0.05	0.045	0.194	0.102	0.126	1.666	0.468	0.337	0.209																				
Merged-chr3-115826298-8	chr3	115823420	115830860	-	7440	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.313	0.078	0.19	0.089	0.307	0.862	0.342	0.307	0.121	0.028	0.493	0.114	0.55	0.243	0.119	0.128	0.809	0.785	0.236	0.992																				
Merged-chr5-16423467-9	chr5	16419282	16426330	+	7048	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.165	0.066	0.1	0.033	0.209	0.396	0.189	0.155	0.069	0.033	0.062	0.031	0.009	0.108	0.054	0.054	0.131	0.128	0.024	0.055																				
Merged-chr14-74173843-7	chr14	74169256	74176702	+	7446	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.217	0.329	0.185	0.21	0.265	0.349	0.243	0.109	0.198	0.056	0.153	0.078	0.195	0.19	0.104	0.112	0.481	0.196	0.307	0.25																				
Merged-chr13-61784854-3	chr13	61783530	61786212	+	2682	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.534	0.025	0.44	0.025	0.99	0.808	0.547	0.586	0.013	0.034	0.175	0	0.069	0.118	0.039	0.028	0.594	0.268	0.044	0.008																				
Merged-chr17-11878354-7	chr17	11874289	11881047	+	6758	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.61	0.486	0.71	0.442	1.446	2.923	1.374	1.058	0.308	0.15	0.743	0.164	0.342	0.471	0.46	0.264	0.936	2.404	0.865	2.566																				
Merged-chr11-29996714-6	chr11	29993950	29999677	+	5727	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0.003	0.004	0	0	0	0	0																				
Merged-chr6-165075205-9	chr6	165072379	165079867	-	7488	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.239	0.134	0.294	0.098	0.394	0.367	0.273	0.229	0.012	0	0.022	0.011	0.011	0.01	0.006	0	0.192	0.519	0.017	0.012																				
Merged-chr5-178617055-4	chr5	178615267	178618663	-	3396	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0.01	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0.006	0																				
Merged-chr4-131932271-7	chr4	131930372	131934276	+	3904	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0.011	0	0	0	0	0																				
Merged-chr10-88323500-7	chr10	88320220	88327236	-	7016	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.013	0.001	0	0	0.005	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0																				
Merged-chr4-133043020-7	chr4	133038539	133045841	+	7302	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.061	0.074	0.124	0.041	0.126	0.181	0.16	0.065	0.019	0.066	0.129	0.008	0.022	0.117	0.138	0.083	0.51	0.295	0.111	0.112																				
Merged-chr6-160709698-8	chr6	160706843	160714145	-	7302	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.313	0.071	0.296	0.018	0.429	0.564	0.458	0.398	0.019	0.009	0.089	0.017	0.112	0.031	0.006	0.026	0.47	0.221	0.038	0.018																				
Merged-chr5-147249036-14	chr5	147244237	147254865	+	10628	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	1.066	0.164	0.744	0.072	1.225	1.571	1.2	1.202	1.91	1.524	3.43	2.136	1.727	3.219	3.447	2.356	1.793	0.553	5.209	3.575																				
Merged-chr2-155727608-7	chr2	155722988	155731848	+	8860	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.212	0.081	0.186	0.086	0.491	0.523	0.282	0.419	0.033	0	0.045	0	0.002	0.019	0	0.009	0.351	0.137	0.013	0.01																				
Merged-chr1-82822476-9	chr1	82819450	82827041	-	7591	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0.002	0	0.004	0.083	0.026	0.015	0.031	0.151	0.003	0.017	0.003	0.011	0.037	0	0.005	0.01	0.003	0	0																				
Merged-chr6_dbb_hap3-4598780-6	chr6_dbb_hap3	4594583	4601700	+	7117	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				
Merged-chr4-20633751-8	chr4	20630598	20638396	-	7798	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.029	0.026	0.035	0.009	0.059	0.061	0.05	0.037	0.007	0	0.025	0.003	0	0.024	0	0.015	0.016	0.041	0.004	0.024																				
Merged-chr2-198451503-2	chr2	198449741	198453266	+	3525	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.025	0.024	0	0.009	0.073	0.043	0.026	0.041	0.064	0.013	0.482	0.051	0.052	0.085	0.131	0	0.206	0.024	0.144	0.028																				
Merged-chr3-96993445-7	chr3	96990507	96997198	-	6691	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.02	0.009	0.012	0.005	0.019	0.016	0.021	0.007	0.003	0	0.013	0.006	0.009	0.022	0.016	0.006	0.006	0.003	0.003	0.002																				
Merged-chr2-101794821-3	chr2	101793599	101796102	-	2503	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				
Merged-chr4-190401411-4	chr4	190399918	190402912	-	2994	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.882	0.039	0.841	0.044	1.115	1.888	1.379	0.987	0.081	0.031	0.362	0.06	0.041	0.211	0.232	0.178	0.995	1.043	0.411	0.385																				
Merged-chr7-100523568-7	chr7	100519095	100526433	+	7338	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.006	0.002	0.011	0.005	0.013	0.018	0.019	0.013	0.005	0.006	0.03	0.011	0.025	0.03	0.023	0.005	0.019	0.01	0.026	0																				
Merged-chr11-3492836-6	chr11	3490685	3495480	-	4795	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.028	0.021	0.025	0.021	0.023	0.023	0.029	0.02	0.011	0.01	0.03	0.017	0	0.039	0.018	0	0.062	0.007	0.054	0.023																				
Merged-chr8-113211968-9	chr8	113207303	113215309	+	8006	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.095	0.017	0.064	0.025	0.046	0.078	0.049	0.036	0.028	0.029	0.059	0.003	0.003	0.044	0.031	0.024	0.027	0.013	0.042	0.042																				
Merged-chr2-5144758-7	chr2	5140125	5147638	+	7513	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.775	0.173	0.471	0.088	0.498	1.51	1.16	0.869	0.067	0.034	0.245	0.139	0.046	0.198	0.235	0.111	0.395	0.158	0.25	0.127																				
Merged-chr14-25897707-7	chr14	25893964	25900940	-	6976	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0.005	0	0	0.003	0	0	0	0	0	0	0	0	0	0.001	0	0	0																				
Merged-chr1-198004902-2	chr1	198002983	198006821	+	3838	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0.77	0.229	0.84	0.286	1.115	1.422	0.932	0.869	0.009	0.006	0.042	0.026	0.005	0.01	0.016	0.01	0.374	0.334	0.053	0.02																				
Merged-chr12-9987843-3	chr12	9985725	9989947	-	4222	1	/Users/patrickreed/GitHub/rmask_hg19_HERVH_sort.bed|/Users/patrickreed/GitHub/rmask_hg19_LTR7_All_sort.bed	0	0	0	0	0	0.005	0	0	0	0.016	0.017	0	0	0	0.005	0.018	0	0	0.01	0.003																				
